block_id,trip_id,trip_headsign,departure_time,arrival_time
strvl009,20171021-21-21605,21B - Milton GO,17:00:00,18:15:00
strvl010,20171021-21-21240,21P - Union Station,07:55:00,09:10:00
strvl010,20171021-21-21285,21B - Milton GO,10:00:00,11:00:00
strvl013,20171021-21-21310,21P - Union Station,09:35:00,11:00:00
strvl013,20171021-31-31353,31A - U of Guelph,11:50:00,14:15:00
strvl013,20171021-31-31612,31A - Union Station,14:50:00,17:35:00
strvl013,20171021-31-31673,31F - Georgetown GO,18:20:00,19:50:00
strvl014,20171021-31-31350,31F - Union Station,10:20:00,12:05:00
strvl014,20171021-21-21381,21P - Meadowvale GO,12:40:00,14:05:00
strvl014,20171021-21-21580,21P - Union Station,15:25:00,17:00:00
strvl014,20171021-21-21641,21P - Meadowvale GO,17:35:00,19:05:00
strvl015,20171021-21-21340,21P - Union Station,10:15:00,11:45:00
strvl015,20171021-31-31373,31F - Georgetown GO,12:20:00,13:45:00
strvl015,20171021-31-31522,31F - Union Station,14:20:00,16:05:00
strvl015,20171021-21-21603,21P - Meadowvale GO,17:05:00,18:35:00
strvl016,20171021-21-21390,21P - Union Station,11:35:00,13:10:00
strvl016,20171021-31-31433,31A - U of Guelph,13:50:00,16:20:00
strvl016,20171021-31-31712,31A - Union Station,16:55:00,19:35:00
strvl016,20171021-21-21741,21P - Meadowvale GO,20:00:00,21:15:00
strvl020,20171021-21-21724,21B - Union Station,18:25:00,19:45:00
strvl020,20171021-21-21751,21P - Meadowvale GO,20:20:00,21:35:00
strvl020,20171021-27-27820,27F - Finch Terminal,22:00:00,22:45:00
strvl020,20171021-27-27861,27F - Meadowvale GO,23:30:00,24:20:00
strvl021,20171021-31-31582,31F - Union Station,15:20:00,17:05:00
strvl021,20171021-21-21635,21B - Milton GO,17:30:00,18:45:00
strvl021,20171021-21-21764,21B - Union Station,19:30:00,20:45:00
strvl021,20171021-21-21811,21P - Meadowvale GO,21:50:00,23:00:00
strvl021,20171021-21-21901,21P - Meadowvale GO,24:50:00,25:55:00
strvl022,20171021-27-27480,27F - Finch Terminal,15:00:00,16:00:00
strvl022,20171021-27-27571,27F - Meadowvale GO,16:30:00,17:30:00
strvl022,20171021-21-21720,21P - Union Station,18:15:00,19:55:00
strvl023,20171021-21-21570,21P - Union Station,15:10:00,16:45:00
strvl023,20171021-21-21621,21P - Meadowvale GO,17:20:00,18:50:00
strvl023,20171021-21-21760,21P - Union Station,19:25:00,20:55:00
strvl023,20171021-21-21791,21P - Meadowvale GO,21:20:00,22:35:00
strvl027,20171021-21-21670,21P - Union Station,17:10:00,18:50:00
strvl027,20171021-21-21711,21P - Meadowvale GO,19:20:00,20:40:00
strvl027,20171021-21-21830,21P - Union Station,21:25:00,22:40:00
strvl027,20171021-31-31851,31E - Georgetown GO,23:00:00,24:30:00
strvl027,20171021-21-21925,21P - Meadowvale GO,25:50:00,26:55:00
strvl028,20171021-21-21684,21B - Union Station,17:25:00,18:45:00
strvl028,20171021-21-21703,21P - Meadowvale GO,19:05:00,20:25:00
strvl028,20171021-21-21820,21P - Union Station,20:55:00,22:15:00
strvl028,20171021-21-21855,21B - Milton GO,23:00:00,23:55:00
strvl028,20171021-21-21930,21A - Union Station,24:35:00,26:10:00
strvl028,20171021-18-18989,18D - Clarkson GO,26:30:00,27:00:00
strvl029,20171021-21-21700,21P - Union Station,17:55:00,19:35:00
strvl029,20171021-21-21771,21P - Meadowvale GO,20:50:00,22:05:00
strvl029,20171021-21-21861,21P - Meadowvale GO,23:20:00,24:30:00
strvl029,20171021-21-21951,21A - Milton GO,26:20:00,27:45:00
strvl030,20171021-21-21740,21P - Union Station,18:55:00,20:30:00
aberf001,20171021-25-25170,25 - Square One,05:55:00,07:40:00
aberf001,20171021-25-25201,25 - U of Waterloo,08:10:00,10:00:00
aberf001,20171021-25-25390,25 - Square One,10:50:00,12:40:00
aberf001,20171021-25-25401,25 - U of Waterloo,13:10:00,15:05:00
aberf002,20171021-31-31242,31A - Union Station,07:00:00,09:20:00
aberf002,20171021-31-31273,31A - U of Guelph,09:50:00,12:10:00
aberf002,20171021-31-31492,31A - Union Station,12:50:00,15:35:00
aberf002,20171021-21-21545,21B - Milton GO,16:00:00,17:15:00
aberf003,20171021-25-25310,25 - Square One,08:50:00,10:40:00
aberf003,20171021-25-25321,25 - U of Waterloo,11:10:00,13:05:00
aberf003,20171021-25-25522,25C - Square One,13:50:00,15:00:00
aberf003,20171021-25-25583,25C - U of Waterloo,16:40:00,17:50:00
aberf004,20171021-31-31332,31A - Union Station,08:55:00,11:35:00
aberf004,20171021-31-31393,31F - Georgetown GO,12:50:00,14:15:00
aberf004,20171021-31-31552,31F - Union Station,14:50:00,16:35:00
aberf004,20171021-31-31623,31F - Georgetown GO,17:20:00,18:55:00
aberf005,20171021-31-31640,31F - Union Station,16:20:00,18:05:00
aberf005,20171021-31-31693,31F - Georgetown GO,18:50:00,20:20:00
aberf005,20171021-31-31830,31E - Union Station,20:55:00,22:35:00
aberf005,20171021-31-31861,31 - U of Guelph,23:30:00,26:00:00
barie001,20171021-68-68240,68C - Aurora GO,06:55:00,08:20:00
barie001,20171021-68-68201,68C - Barrie Terminal,08:55:00,10:20:00
barie001,20171021-68-68430,68C - Aurora GO,11:18:00,12:48:00
barie001,20171021-68-68381,68C - Barrie Terminal,13:40:00,15:05:00
barie002,20171021-68-68300,68B - East Gwillimbury GO,08:19:00,09:25:00
barie002,20171021-68-68281,68C - Barrie Terminal,10:55:00,12:20:00
barie003,20171021-68-68330,68B - East Gwillimbury GO,09:03:00,10:09:00
barie003,20171021-68-68490,68C - Aurora GO,12:33:00,14:03:00
barie003,20171021-68-68431,68C - Barrie Terminal,14:55:00,16:25:00
barie004,20171021-68-68380,68B - East Gwillimbury GO,10:18:00,11:24:00
barie004,20171021-68-68331,68C - Barrie Terminal,12:25:00,13:50:00
barie005,20171021-68-68560,68C - Aurora GO,13:48:00,15:18:00
barie005,20171021-68-68491,68C - Barrie Terminal,16:10:00,17:40:00
barie005,20171021-68-68790,68C - Aurora GO,18:48:00,20:18:00
barie005,20171021-68-68741,68C - Barrie Terminal,21:00:00,22:20:00
barie006,20171021-68-68640,68C - Aurora GO,15:03:00,16:33:00
barie006,20171021-68-68561,68B - Barrie Terminal,17:37:00,18:47:00
barie006,20171021-68-68820,68C - Aurora GO,19:50:00,21:20:00
barie006,20171021-68-68811,68B - Barrie Terminal,22:59:00,24:01:00
barie007,20171021-68-68690,68C - Aurora GO,16:18:00,17:48:00
barie007,20171021-68-68641,68C - Barrie Terminal,18:40:00,20:05:00
barie007,20171021-68-68850,68C - Aurora GO,20:50:00,22:20:00
barie007,20171021-68-68861,68B - Barrie Terminal,23:59:00,25:01:00
barie008,20171021-68-68740,68C - Aurora GO,17:33:00,19:03:00
barie008,20171021-68-68691,68C - Barrie Terminal,19:55:00,21:20:00
bramp001,20171021-36-36070,36 - York Mills Term,06:00:00,06:50:00
bramp001,20171021-36-36151,36 - Brampton Term,07:20:00,08:15:00
bramp001,20171021-36-36220,36 - York Mills Term,08:30:00,09:20:00
bramp001,20171021-36-36271,36 - Brampton Term,09:50:00,10:45:00
bramp001,20171021-36-36340,36 - York Mills Term,11:30:00,12:30:00
bramp001,20171021-36-36391,36 - Brampton Term,12:50:00,13:55:00
bramp002,20171021-31-31170,31F - Union Station,06:30:00,07:45:00
bramp002,20171021-31-31221,31L - Bramalea GO,08:30:00,09:05:00
bramp002,20171021-31-31300,31L - Union Station,09:45:00,10:35:00
bramp002,20171021-31-31331,31L - Bramalea GO,11:00:00,11:40:00
bramp002,20171021-31-31400,31L - Union Station,12:15:00,13:10:00
bramp002,20171021-31-31421,31L - Bramalea GO,13:30:00,14:15:00
bramp002,20171021-31-31510,31L - Union Station,14:45:00,15:40:00
bramp002,20171021-31-31541,31L - Bramalea GO,16:00:00,16:45:00
bramp003,20171021-36-36100,36 - York Mills Term,06:30:00,07:20:00
bramp003,20171021-36-36181,36 - Brampton Term,07:50:00,08:45:00
bramp003,20171021-36-36240,36 - York Mills Term,09:00:00,09:55:00
bramp003,20171021-36-36291,36 - Brampton Term,10:20:00,11:15:00
bramp003,20171021-36-36360,36 - York Mills Term,12:00:00,13:00:00
bramp003,20171021-36-36411,36 - Brampton Term,13:20:00,14:25:00
